200000; 0.003
210000; 0.002
220000; 0.002
230000; 0.002
240000; 0.002
250000; 0.003
260000; 0.003
270000; 0.003
280000; 0.003
290000; 0.003
300000; 0.003
1110000; 0.011
1120000; 0.013
1130000; 0.012
1140000; 0.012
1150000; 0.012
1160000; 0.012
1170000; 0.013
1180000; 0.012
1190000; 0.012
1200000; 0.012
5110000; 0.068
5120000; 0.053
5130000; 0.053
5140000; 0.053
5150000; 0.054
5160000; 0.053
5170000; 0.053
5180000; 0.054
5190000; 0.054
5200000; 0.053
5110000; 0.075
5210000; 0.053
5310000; 0.062
5410000; 0.060
5510000; 0.065
5610000; 0.064
